timestamp,symbol,raw_price,fair_price,fair_velocity,confidence,forecast,forecast_mode,Q_scale,R_scale
2026-01-07T18:08:00+00:00,BTC/USDT,91260.7,90806.89244157134,2000.0,0.38163265306122446,91260.7,PERSIST,1.08,1.45
2026-01-07T18:09:00+00:00,BTC/USDT,91252.54,91294.4082322933,533.723662169502,0.3695047781325961,91252.54,PERSIST,1.1584,1.8775
2026-01-07T18:10:00+00:00,BTC/USDT,91309.39,91423.55534767815,305.16056328707487,0.3609208999847403,91309.39,PERSIST,1.235232,2.283625
2026-01-07T18:11:00+00:00,BTC/USDT,91258.22,91429.51776279978,187.11980535780674,0.3542083808485192,91258.22,PERSIST,1.3105273600000003,2.6694437499999997
2026-01-07T18:12:00+00:00,BTC/USDT,91231.9,91410.12735532873,124.56895984239375,0.3456968954164658,91231.9,PERSIST,1.3843168128000003,3.0359715624999994
2026-01-07T18:13:00+00:00,BTC/USDT,91336.62,91442.1212247276,101.67785052437401,0.34503264307698,91336.62,PERSIST,1.4566304765440004,3.3841729843749992
2026-01-07T18:14:00+00:00,BTC/USDT,91305.01,91444.0284485635,80.59183647762555,0.3236631803636998,91305.01,PERSIST,1.5274978670131205,3.714964335156249
2026-01-07T18:15:00+00:00,BTC/USDT,91267.4,91426.36812573213,62.16929549080041,0.2966091524998239,91267.4,PERSIST,1.5969479096728583,4.029216118398436
2026-01-07T18:16:00+00:00,BTC/USDT,91172.64,91376.08889335327,42.87084993887218,0.24691841667436715,91172.64,PERSIST,1.665008951479401,4.327755312478514
2026-01-07T18:17:00+00:00,BTC/USDT,91212.68,91349.40104123793,31.659141785695734,0.2117908622717448,91212.68,PERSIST,1.731708772449813,4.611367546854588
2026-01-07T18:18:00+00:00,BTC/USDT,91203.46,91323.53737824399,22.77113044565859,0.17624640819037746,91203.46,PERSIST,1.7970745970008168,4.880799169511858
2026-01-07T18:19:00+00:00,BTC/USDT,91199.0,91299.95280510026,15.798287127529164,0.15061713770163299,91199.0,PERSIST,1.8611331050608007,5.136759211036265
2026-01-07T18:20:00+00:00,BTC/USDT,91241.07,91292.7065883176,12.386634756633324,0.21646313742377693,91241.07,PERSIST,1.9239104429595848,5.379921250484452
2026-01-07T18:21:00+00:00,BTC/USDT,91250.1,91288.3337921089,9.926809336265665,0.2555014915991483,91250.1,PERSIST,1.9854322341003932,5.6109251879602295
2026-01-07T18:22:00+00:00,BTC/USDT,91240.0,91280.63076133355,7.349886479022368,0.22899362150653998,91240.0,PERSIST,2.0457235894183854,5.830378928562218
2026-01-07T18:23:00+00:00,BTC/USDT,91226.14,91269.32781338532,4.627597387035447,0.2012542530202023,91226.14,PERSIST,2.1048091176300177,6.038859982134107
2026-01-07T18:24:00+00:00,BTC/USDT,91270.54,91272.9258284371,4.477359711012463,0.522732114304758,91270.54,PERSIST,2.1310211507245946,5.907687521645346
2026-01-07T18:25:00+00:00,BTC/USDT,91221.81,91259.99731453031,1.9333091072675876,0.20418702007756723,91221.81,PERSIST,2.188400727710103,6.112303145563078
2026-01-07T18:26:00+00:00,BTC/USDT,91095.11,91210.29008937096,-5.634058787853425,0.07881634526845013,91095.11,PERSIST,2.2446327131559007,6.306687988284923
2026-01-07T18:27:00+00:00,BTC/USDT,91148.14,91187.25344951959,-8.190287980885028,0.23686916300855781,91148.14,PERSIST,2.299740058892783,6.491353588870677
2026-01-07T18:28:00+00:00,BTC/USDT,91135.24,91165.59170002984,-10.172588537840346,0.2944199055638113,91135.24,PERSIST,2.3537452577149276,6.666785909427142
2026-01-07T18:29:00+00:00,BTC/USDT,91264.36,91188.92073128677,-5.237195233560645,0.11342792700258471,91264.36,PERSIST,2.4066703525606292,6.833446613955785
2026-01-07T18:30:00+00:00,BTC/USDT,91289.87,91216.38693464018,-0.41609666150142655,0.08731466952117428,91289.87,PERSIST,2.4585369455094166,6.991774283257996
2026-01-07T18:31:00+00:00,BTC/USDT,91434.81,91283.508070912,9.54409084264319,0.08742532628359184,91434.81,PERSIST,2.5093662065992284,7.142185569095096
2026-01-07T18:32:00+00:00,BTC/USDT,91392.01,91323.66303249077,14.059665861048394,0.17543539424182902,91392.01,PERSIST,2.559178882467244,7.285076290640341
2026-01-07T18:33:00+00:00,BTC/USDT,91395.92,91355.76861305587,16.722359785423215,0.27662977535562666,91395.92,PERSIST,2.607995304817899,7.420822476108324
2026-01-07T18:34:00+00:00,BTC/USDT,91420.05,91387.27419963283,18.90428563183006,0.3248479346122423,91420.05,PERSIST,2.6558353987215413,7.549781352302907
2026-01-07T18:35:00+00:00,BTC/USDT,91349.3,91388.45539368987,16.287435877133102,0.2777692602255327,91349.3,PERSIST,2.7027186907471106,7.672292284687761
2026-01-07T18:36:00+00:00,BTC/USDT,91336.62,91383.46493050741,13.144157150988672,0.2278691471791478,91336.62,PERSIST,2.7486643169321683,7.788677670453373
2026-01-07T18:37:00+00:00,BTC/USDT,91340.25,91378.96365151292,10.535920070499992,0.2467424914196189,91340.25,PERSIST,2.793691030593525,7.899243786930704
2026-01-07T18:38:00+00:00,BTC/USDT,91358.17,91379.66755361953,9.081602616869052,0.34331500328235226,91358.17,PERSIST,2.8378172099816545,8.004281597584168
2026-01-07T18:39:00+00:00,BTC/USDT,91338.57,91372.96510498268,6.745067127298451,0.24547670190923865,91338.57,PERSIST,2.8810608657820214,8.104067517704959
2026-01-07T18:40:00+00:00,BTC/USDT,91364.29,91374.8485857237,6.024791804233381,0.42502606579637614,91364.29,PERSIST,2.923439648466381,8.19886414181971
2026-01-07T18:41:00+00:00,BTC/USDT,91349.0,91370.80181960217,4.531284421730894,0.3129592742814586,91349.0,PERSIST,2.9649708554970537,8.288920934728724
2026-01-07T18:42:00+00:00,BTC/USDT,91328.48,91360.49521403632,2.328907361076841,0.23118645400056237,91328.48,PERSIST,3.005671438387113,8.374474887992287
2026-01-07T18:43:00+00:00,BTC/USDT,91207.71,91313.59352524248,-4.985480133369347,0.07343854001171254,91207.71,PERSIST,3.0455580096193704,8.455751143592671
2026-01-07T18:44:00+00:00,BTC/USDT,91211.9,91277.84845331324,-9.560131632091762,0.14992444302256033,91211.9,PERSIST,3.084646849426983,8.532963586413038
